Flowable,Class,SectorProducedBy,SectorConsumedBy,SectorSourceName,Context,Location,LocationSystem,FlowAmount,Unit,FlowType,Year,MeasureofSpread,Spread,DistributionType,Min,Max,DataReliability,TemporalCorrelation,GeographicalCorrelation,TechnologicalCorrelation,DataCollection,MetaSources,FlowUUID,ProducedBySectorType,ConsumedBySectorType,AttributionSources,SourceName
Food Waste,Other,111120,624210,NAICS_2012_Code,,"=""00000""",FIPS,3926.849542798922,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111130,115112,NAICS_2012_Code,,"=""00000""",FIPS,886.905332860069,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111130,221320,NAICS_2012_Code,,"=""00000""",FIPS,12757.792095756378,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111130,311119,NAICS_2012_Code,,"=""00000""",FIPS,6208.337330020484,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111130,324110,NAICS_2012_Code,,"=""00000""",FIPS,6276.560817163566,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111130,5622121,NAICS_2012_Code,,"=""00000""",FIPS,120346.23132039706,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111130,562213,NAICS_2012_Code,,"=""00000""",FIPS,25754.366396513542,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111130,5622191,NAICS_2012_Code,,"=""00000""",FIPS,17942.77711863063,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111130,5622192,NAICS_2012_Code,,"=""00000""",FIPS,8834.94158502915,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111130,624210,NAICS_2012_Code,,"=""00000""",FIPS,16339.525170768195,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111140,115112,NAICS_2012_Code,,"=""00000""",FIPS,6088.419688297317,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111140,221320,NAICS_2012_Code,,"=""00000""",FIPS,87579.5755162768,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111140,311119,NAICS_2012_Code,,"=""00000""",FIPS,42618.93781808121,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111140,324110,NAICS_2012_Code,,"=""00000""",FIPS,43087.27779410409,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111140,5622121,NAICS_2012_Code,,"=""00000""",FIPS,826151.7177043436,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111140,562213,NAICS_2012_Code,,"=""00000""",FIPS,176798.34094863365,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111140,5622191,NAICS_2012_Code,,"=""00000""",FIPS,123173.41369401496,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111140,5622192,NAICS_2012_Code,,"=""00000""",FIPS,60650.02689496173,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111140,624210,NAICS_2012_Code,,"=""00000""",FIPS,112167.4242574775,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111150,115112,NAICS_2012_Code,,"=""00000""",FIPS,18898.465803123818,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111150,221320,NAICS_2012_Code,,"=""00000""",FIPS,271847.1619372426,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111150,311119,NAICS_2012_Code,,"=""00000""",FIPS,132289.2606218667,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111150,324110,NAICS_2012_Code,,"=""00000""",FIPS,133742.98876056855,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111150,5622121,NAICS_2012_Code,,"=""00000""",FIPS,2564376.436670032,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111150,562213,NAICS_2012_Code,,"=""00000""",FIPS,548782.3723599416,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111150,5622191,NAICS_2012_Code,,"=""00000""",FIPS,382330.5004785818,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111150,5622192,NAICS_2012_Code,,"=""00000""",FIPS,188257.79396188725,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111150,624210,NAICS_2012_Code,,"=""00000""",FIPS,348167.8892190888,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111160,115112,NAICS_2012_Code,,"=""00000""",FIPS,3506.031397894669,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111160,221320,NAICS_2012_Code,,"=""00000""",FIPS,50432.91318510024,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111160,311119,NAICS_2012_Code,,"=""00000""",FIPS,24542.219785262685,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111160,324110,NAICS_2012_Code,,"=""00000""",FIPS,24811.91450817766,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111160,5622121,NAICS_2012_Code,,"=""00000""",FIPS,475741.49122201506,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111160,562213,NAICS_2012_Code,,"=""00000""",FIPS,101809.7579004029,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111160,5622191,NAICS_2012_Code,,"=""00000""",FIPS,70929.7121266383,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111160,5622192,NAICS_2012_Code,,"=""00000""",FIPS,34925.466617489205,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111160,624210,NAICS_2012_Code,,"=""00000""",FIPS,64591.886138136404,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111191,115112,NAICS_2012_Code,,"=""00000""",FIPS,17883.411487526344,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111191,221320,NAICS_2012_Code,,"=""00000""",FIPS,257245.99601287898,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111191,311119,NAICS_2012_Code,,"=""00000""",FIPS,125183.8804126844,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111191,324110,NAICS_2012_Code,,"=""00000""",FIPS,126559.52745018645,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111191,5622121,NAICS_2012_Code,,"=""00000""",FIPS,2426641.374153575,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111191,562213,NAICS_2012_Code,,"=""00000""",FIPS,519306.756657015,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
Food Waste,Other,111191,5622191,NAICS_2012_Code,,"=""00000""",FIPS,361795.170863033,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalRecycle_WasteCharacterization.employment,,I,,EPA_FactsAndFigures,CNHW_national_2018.facts_and_figures
