Flowable,Class,SectorProducedBy,SectorConsumedBy,SectorSourceName,Context,Location,LocationSystem,FlowAmount,Unit,FlowType,Year,MeasureofSpread,Spread,DistributionType,Min,Max,DataReliability,TemporalCorrelation,GeographicalCorrelation,TechnologicalCorrelation,DataCollection,MetaSources,FlowUUID,ProducedBySectorType,ConsumedBySectorType,AttributionSources
Food Waste,Other,311221,115112,NAICS_2012_Code,,"=""00000""",FIPS,99199244.7027105,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311221,311119,NAICS_2012_Code,,"=""00000""",FIPS,225128891.59525606,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311221,324110,NAICS_2012_Code,,"=""00000""",FIPS,3857156.9572271113,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311221,5622121,NAICS_2012_Code,,"=""00000""",FIPS,14902476.788842069,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311221,562213,NAICS_2012_Code,,"=""00000""",FIPS,2174275.2936585573,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311221,5622191,NAICS_2012_Code,,"=""00000""",FIPS,60614991.41128321,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311221,5622192,NAICS_2012_Code,,"=""00000""",FIPS,9632335.653224329,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311221,624210,NAICS_2012_Code,,"=""00000""",FIPS,29104647.034626603,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311224,115112,NAICS_2012_Code,,"=""00000""",FIPS,368095695.33894455,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311224,311119,NAICS_2012_Code,,"=""00000""",FIPS,835379101.3327881,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311224,324110,NAICS_2012_Code,,"=""00000""",FIPS,14312637.928413244,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311224,5622121,NAICS_2012_Code,,"=""00000""",FIPS,55298178.65348542,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311224,562213,NAICS_2012_Code,,"=""00000""",FIPS,8068018.849095794,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311224,5622191,NAICS_2012_Code,,"=""00000""",FIPS,224922250.95430377,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311224,5622192,NAICS_2012_Code,,"=""00000""",FIPS,35742422.23958017,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
