FacilityID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,UrbanRural,Plant operator name,Balancing Authority Name,Balancing Authority Code,NERC region acronym,eGRID subregion acronym,Plant primary fuel,Plant primary coal/oil/gas/ other fossil fuel category,Plant coal generation percent (resource mix),Plant oil generation percent (resource mix),Plant gas generation percent (resource mix),Plant nuclear generation percent (resource mix),Plant hydro generation percent (resource mix),Plant biomass generation percent (resource mix),Plant wind generation percent (resource mix),Plant solar generation percent (resource mix),Plant geothermal generation percent (resource mix),Plant other fossil generation percent (resource mix),Plant other unknown / purchased fuel generation percent (resource mix)
58494,"Progress Solar II, LLC",,,NC,,34.476111,-79.0975,Robeson,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
58495,"Progress Solar III, LLC",,,NC,,34.714167,-79.353889,Robeson,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
62095,Quarter Horse Solar,,,NC,,34.437,-77.642,Pender,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
6438,Queens Creek,,,NC,,35.27127,-83.676016,Macon,,,,"Duke Energy Carolinas, LLC",Duke Energy Carolinas,DUK,SERC,SRVC,WAT,HYDRO,0,0,0,0,100,0,0,0,0,0,0
59506,Quincy Solar,,,NC,,35.0717,-78.8078,Cumberland,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
56966,QVC Inc,,,NC,,35.9222,-77.6731,Edgecombe,,,,Edgecombe-Martin County E M C,"PJM Interconnection, LLC",PJM,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
58274,Raeford Farm,,,NC,,34.968889,-79.211944,Hoke,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
58316,Railroad Farm,,,NC,,34.82,-78.970833,Robeson,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
61095,Railroad Farm 2,,,NC,,34.807903,-78.950494,Robeson,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
63381,"Railroad Solar Farm, LLC",,,NC,,34.68056,-79.185,Robeson,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
58810,Rams Horn Solar Center LLC,,,NC,,35.64,-77.316111,Pitt,,,,Greenville Utilities Comm,Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
61813,"Ranchland Solar, LLC",,,NC,,36.472591,-76.154089,Currituck,,,,Virginia Electric & Power Co,"PJM Interconnection, LLC",PJM,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
63017,Ray Wilson Solar,,,NC,,35.933,-80.376,Davie,,,,"Duke Energy Carolinas, LLC",Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
59760,"Red Hill Solar Center, LLC",,,NC,,36.404382,-78.141105,Warren,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
60929,"Red Oak Solar Farm, LLC",,,NC,,35.993015,-77.933518,Nash,,,,Duke Energy Progress - (NC),Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
60129,"Red Toad 1425 A Powatan Road, LLC",,,NC,,35.604208,-78.370875,Johnston,,,,Duke Energy Progress - (NC),Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
62131,"Red Toad 4451 Buffalo Road, LLC",,,NC,,35.557397,-78.297336,Johnston,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
62204,"Red Toad 5840 Buffalo Road, LLC",,,NC,,35.572873,-78.302297,Johnston,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
59114,Redmon Solar Farm LLC,,,NC,,35.710833,-80.665833,Rowan,,,,"Duke Energy Carolinas, LLC",Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
58865,Reventure Park,,,NC,,35.294444,-80.998889,Mecklenburg,,,,"Duke Energy Carolinas, LLC",Duke Energy Carolinas,DUK,SERC,SRVC,LFG,BIOMASS,0,0,0,0,0,100,0,0,0,0,0
2730,Rhodhiss,,,NC,,35.774234,-81.437773,Caldwell,,,,"Duke Energy Carolinas, LLC",Duke Energy Carolinas,DUK,SERC,SRVC,WAT,HYDRO,0,0,0,0,100,0,0,0,0,0,0
65583,"Richlands Solar, LLC",,,NC,,34.784644,-77.637943,Onslow,,,,Jones-Onslow Elec Member Corp,Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
7805,Richmond County Plant,,,NC,,34.8392,-79.7406,Richmond,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,NG,GAS,0,0.212138363,99.78786164,0,0,0,0,0,0,0,0
65110,Ridgeback,,,NC,,35.86546,-79.57982,Randolph,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
60487,"River Road Solar, LLC",,,NC,,36.351,-76.842,Hertford,,,,Virginia Electric & Power Co,"PJM Interconnection, LLC",PJM,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
2758,Roanoke Rapids,,,NC,,36.4789,-77.6722,Halifax,,,,Virginia Electric & Power Co,"PJM Interconnection, LLC",PJM,SERC,SRVC,WAT,HYDRO,0,0,0,0,100,0,0,0,0,0,0
59763,Robeson County LFG to Energy,,,NC,,34.791,-78.9088,Robeson,,,,Lumbee River Elec Member Corp,Duke Energy Progress East,CPLE,SERC,SRVC,LFG,BIOMASS,,,,,,,,,,,
60165,Robin Solar,,,NC,,35.264418,-78.081389,Wayne,,,,Duke Energy Progress - (NC),Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
58347,Rock Farm,,,NC,,34.965556,-79.609722,Richmond,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
55116,Rockingham County Combustion Turbine,,,NC,,36.3297,-79.8297,Rockingham,,,,"Duke Energy Carolinas, LLC",Duke Energy Carolinas,DUK,SERC,SRVC,NG,GAS,0,1.602014975,98.39798503,0,0,0,0,0,0,0,0
60106,"Rockingham Solar, LLC",,,NC,,34.980661,-79.603732,Richmond,,,,Duke Energy Progress - (NC),Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
58668,Rockwell Solar LLC,,,NC,,35.541667,-80.474722,Rowan,,,,"Duke Energy Carolinas, LLC",Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
50468,Rocky Mount Mill,,,NC,,35.960058,-77.802435,Nash,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,WAT,HYDRO,,,,,,,,,,,
60761,"Roper Farm, LLC",,,NC,,35.187475,-81.440717,Cleveland,,,,"Duke Energy Carolinas, LLC",Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
59375,Rose Hill,,,NC,,34.823889,-77.969722,Duplin,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
50555,Rosemary Power Station,,,NC,,36.4517,-77.6594,Halifax,,,,Virginia Electric & Power Co,"PJM Interconnection, LLC",PJM,SERC,SRVC,DFO,OIL,0,100,0,0,0,0,0,0,0,0,0
61520,Rosewood Solar,,,NC,,35.4375,-78.10709,Wayne,,,,Tri-County Elec Member Corp,Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
2712,Roxboro,,,NC,,36.4833,-79.0731,Person,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,BIT,COAL,99.61497565,0.385024348,0,0,0,0,0,0,0,0,0
58340,Roxboro Farm,,,NC,,36.4797,-78.917364,Person,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
61288,"Roxboro Solar Farm, LLC",,,NC,,36.326821,-78.622242,Granville,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
